	H3K4me3	H3K4me1	H3K27ac	H3K27me3	H3K9me3	H3K36me1	H3K36me3	H3K79me1	H3K79me2	H3K79me3
100	1.273	1.845	1.255	6.678	3.992	3.008	0.4813	2.13	0.2253	0.5487
300	1.263	2.094	1.314	6.704	4.17	3.26	0.2024	2.321	0.2718	0.597
500	-0.1197	-0.3921	-0.3642	1.862	0.8911	0.4991	-0.3099	0.2276	-0.6492	-0.5131
700	0.1116	-0.8932	-0.8005	1.477	-0.2313	0.2389	-0.4453	-0.4695	-0.9227	-0.6949
900	0.5436	-0.4834	0.02368	2.255	1.632	0.6649	-0.3674	0.1754	-0.5208	-0.415
1100	-0.05895	-0.4038	-0.1332	1.656	0.6821	0.2218	-0.4263	-0.4604	-0.6122	-0.4382
1300	-0.9026	-0.8149	-0.6901	-0.2203	-0.4606	-0.7241	-0.6488	-1.197	-0.8707	-0.8591
1500	-0.6681	-0.4666	-0.4846	0.4594	0.01318	-0.1542	-0.6195	-0.2392	-0.5366	-0.7236
1700	-0.5909	-0.1219	-0.451	-0.7068	-0.09364	-0.07976	-0.6249	-0.3225	-0.9198	-0.9721
1900	0.1935	0.9121	-0.5049	-0.1832	-0.3992	0.3087	-0.1176	-0.2428	-0.7054	-0.6213
2100	-0.3413	0.9844	0.1747	0.02549	-0.1943	0.627	-0.4308	0.9737	-0.1635	-0.4503
2300	-0.5118	1.312	0.0821	-0.3081	0.2805	1.385	-0.1888	1.038	-0.08058	-0.2353
2500	-0.843	0.2333	0.2523	-0.58	-0.2459	1.116	-0.5682	0.5922	-0.3861	-0.5221
2700	-0.706	-0.5925	-0.3794	-0.6205	-0.3849	0.4714	-0.5614	0.1259	-0.5511	-0.8003
2900	-0.243	0.6626	0.09401	-0.6578	0.09621	1.325	-0.1787	1.382	-0.24	-0.322
3100	-0.4808	0.7936	0.5	-0.3995	0.2132	1.878	-0.2888	0.9525	-0.02606	-0.2867
3300	-0.5448	0.9483	1.115	0.1011	0.8777	2.605	-0.4182	1.642	-0.04309	-0.0861
3500	-0.4501	0.6969	1.476	-0.5959	0.2036	1.548	-0.3879	0.979	-0.1603	-0.2316
3700	0.2053	0.4125	1.643	-0.9692	0.1587	0.389	-0.4711	-0.06375	-0.5297	-0.7024
3900	0.4891	-0.02594	-0.5906	-0.8592	-0.2754	-0.007567	-0.52	-0.2259	-0.3091	-0.7643
4100	2.963	0.2247	2.925	-1.262	-0.4296	1.415	-0.4002	1.15	-0.3451	-0.7425
4300	1.749	2.175	2.479	-1.25	-0.2131	2.793	0.09348	2.634	-0.159	-0.4239
4500	0.3153	1.577	0.6488	-1.037	0.03002	2.864	-0.0939	1.44	0.09009	-0.4659
4700	0.02543	0.7245	-0.1421	-1.185	-0.213	1.503	0.6141	1.799	-0.01117	-0.3363
4900	-0.6156	0.5036	-0.2085	-1.206	-0.3814	1.558	0.3978	1.115	-0.1218	-0.1554
5100	-0.3123	0.2516	0.1117	-0.7232	-0.5201	1.086	0.1961	1.322	-0.3769	-0.5807
5300	-0.6504	-0.09875	0.02368	-0.9396	-0.4945	0.4427	0.4978	0.9172	-0.3569	-0.517
5500	-0.9367	-0.3014	0.1918	-0.8595	-0.4755	0.4098	-0.09351	1.05	-0.2972	-0.5385
5700	-1.032	-0.6962	-0.3121	-1.011	-0.4128	0.04305	-0.2534	-0.2515	-0.382	-0.8122
5900	-0.5397	-0.1498	0.3542	-1.143	-0.5445	0.0981	0.2207	0.2507	-0.3796	-0.2164
6100	-0.1392	-0.5817	-0.584	-1.352	-0.1226	0.4569	1.308	1.374	-0.2677	-0.04611
6300	-0.1033	-0.2277	-0.3217	-1.282	-0.5412	1.011	1.289	1.593	0.1806	-0.2764
6500	-0.5353	-0.03763	-0.0545	-1.181	-0.0656	1.113	0.2478	1.228	0.164	-0.3653
6700	-0.9112	0.1819	-0.04826	-0.6574	0.6922	1.699	-0.08033	2.082	-0.09219	-0.2057
6900	-0.1731	-0.1083	0.03653	-0.9691	-0.3237	2.564	-0.08672	2.419	-0.1405	-0.3388
7100	-0.8021	-0.7589	-0.01139	-0.5028	-0.3951	1.85	-0.05801	1.165	-0.1618	-0.4414
7300	-0.7111	-0.6379	-0.05034	-1.061	-0.8725	1.495	-0.4021	-0.3196	-0.5809	-0.543
7500	-0.2128	-0.2404	0.4617	-0.7054	-0.173	2.376	0.03167	2.296	0.02182	-0.2575
7700	-0.3022	0.0569	-0.02699	-0.6055	-0.1811	3.029	-0.2541	2.502	0.0678	-0.1897
7900	-0.2747	0.565	0.3532	-0.6097	0.6029	2.905	-0.324	1.941	-0.02392	-0.2018
8100	0.2116	-0.2357	0.1158	-0.7926	-0.2527	3.23	-0.1471	2.144	0.1509	-0.08362
8300	0.1863	-0.4484	-0.06613	-0.9277	0.8712	4.396	-0.04286	3.547	0.2822	0.325
8500	0.04399	-0.1698	0.04107	-1.022	0.3274	3.755	-0.05985	2.216	0.4123	0.01962
8700	-0.009502	-0.694	-0.3388	-0.6287	0.5742	2.136	0.2022	1.78	0.2749	-0.004751
8900	-0.662	-1.398	-0.7132	-1.19	-1.034	0.9986	-0.1518	0.03787	-0.4549	-0.7034
9100	-0.654	0.161	-0.1442	-1.176	-0.4315	1.164	-0.1451	1.146	0.328	-0.1319
9300	-0.002991	0.4753	0.01366	-1.268	0.6521	1.805	0.2535	2.185	0.4625	0.3159
9500	-0.1274	-0.5959	-0.4186	-1.369	0.4547	0.8111	0.444	1.236	0.01342	-0.1813
9700	-0.5783	-0.186	-0.364	-0.8934	-0.2869	0.6364	0.7063	0.2903	-0.113	-0.3255
9900	-0.8221	-0.1939	-0.2212	-1.135	-0.1812	0.744	0.1793	1.257	-0.008647	-0.3037
10100	-0.425	-0.1862	-0.2086	-1.147	0.2902	2.102	0.147	1.715	0.1635	-0.3274
10300	-0.02261	-0.02264	-0.187	-0.8454	-0.391	1.904	-0.07665	1.33	-0.08555	-0.4805
10500	0.4223	0.5	0.08673	-0.25	0.2066	2.864	-0.202	1.189	0.03137	-0.04875
10700	-0.4224	0.728	0.4756	-0.613	1.249	2.993	-0.1919	1.997	0.3733	0.1228
10900	-0.5887	-0.01349	0.5151	-0.8971	0.3528	1.434	-0.5044	1.47	-0.06584	-0.1783
11100	-0.2453	-0.04386	0.4995	-0.03086	0.5164	2.602	-0.3709	2.499	0.07765	-0.06454
11300	0.204	0.2627	-0.5495	-0.07261	0.8	2.444	-0.3126	2.686	0.1202	-0.1115
11500	1.238	0.09286	-0.06102	-0.868	0.3329	1.7	-0.1896	2.067	0.4489	0.2357
11700	0.9496	0.01065	2.248	-0.9075	0.3871	1.514	-0.539	2.003	0.3381	0.4136
11900	0.7076	-0.09582	0.7517	0.4002	0.3606	0.9525	-0.2619	1.531	0.375	0.3974
12100	-0.2713	-0.2494	0.06584	0.1242	0.1213	-0.1179	-0.2267	0.6225	-0.1823	-0.2189
12300	0.5814	0.05131	0.3093	-0.02778	0.8483	1.432	-0.3236	0.9719	0.5212	0.2201
12500	-0.1865	-0.2641	0.4204	0.01325	0.7353	1.374	-0.3658	1.772	0.1465	0.3151
12700	-0.439	0.08714	0.5426	-0.6719	0.2485	1.494	-0.3867	1.944	0.2466	0.25
12900	0.4581	0.2053	-0.2302	-0.1573	0.5572	1.583	-0.1738	2.198	0.562	0.4143
13100	0.3629	0.9786	-0.4295	0.2858	1.183	1.627	0.0487	2.643	0.6805	0.9536
13300	0.3021	0.7134	0.05865	-0.2081	0.8207	2.043	-0.4437	2.762	0.5259	1.113
13500	0.4863	0.759	0.2417	-0.5279	0.457	1.443	-0.3243	1.988	0.3385	0.3301
13700	-0.3968	-0.1811	0.4601	-0.2104	0.1153	1.287	-0.5457	0.5186	0.02411	-0.2808
13900	-0.259	0.2375	0.2594	-0.3894	0.4083	2.163	-0.4493	1.69	0.1181	0.147
14100	-0.5397	0.07443	-0.06981	-1.464	-0.1314	1.176	-0.5365	0.5548	-0.1508	-0.2413
14300	-0.5287	-0.7104	0.09741	-1.137	-0.2193	1.532	-0.5612	0.5404	-0.258	-0.2745
14500	0.1489	1.074	0.7915	-0.6212	0.2941	2.638	-0.2395	2.665	0.7589	0.7013
